"blinded_filename","culture_code","day","field_id","original_filename","original_relative_path","original_path","original_passage","include_reason"
"CultureB_day3_04.tif","CultureB","3","04","EXP_path2_passage4_304a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_304a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_05.tif","CultureB","3","05","EXP_path2_passage4_305a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_305a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_06.tif","CultureB","3","06","EXP_path2_passage4_306a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_306a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_07.tif","CultureB","3","07","EXP_path2_passage4_307.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_307.tif","path2","4","cro_cpe_detections_exact_original"
"CultureB_day3_08.tif","CultureB","3","08","EXP_path2_passage4_308.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_308.tif","path2","4","cro_cpe_detections_exact_original"
"CultureB_day3_09.tif","CultureB","3","09","EXP_path2_passage4_309a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_309a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_10.tif","CultureB","3","10","EXP_path2_passage4_310a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_310a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day4_01.tif","CultureB","4","01","EXP_path2_passage4_401.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_401.tif","path2","4","standard_exp_frame"
"CultureB_day4_02.tif","CultureB","4","02","EXP_path2_passage4_402.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_402.tif","path2","4","standard_exp_frame"
"CultureB_day4_03.tif","CultureB","4","03","EXP_path2_passage4_403.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_403.tif","path2","4","standard_exp_frame"
"CultureB_day4_04.tif","CultureB","4","04","EXP_path2_passage4_404.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_404.tif","path2","4","standard_exp_frame"
"CultureB_day4_05.tif","CultureB","4","05","EXP_path2_passage4_405.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_405.tif","path2","4","standard_exp_frame"
"CultureB_day4_06.tif","CultureB","4","06","EXP_path2_passage4_406.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_406.tif","path2","4","standard_exp_frame"
"CultureB_day4_07.tif","CultureB","4","07","EXP_path2_passage4_407.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_407.tif","path2","4","standard_exp_frame"
"CultureB_day4_08.tif","CultureB","4","08","EXP_path2_passage4_408.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_408.tif","path2","4","standard_exp_frame"
"CultureB_day4_09.tif","CultureB","4","09","EXP_path2_passage4_409.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_409.tif","path2","4","standard_exp_frame"
"CultureB_day4_10.tif","CultureB","4","10","EXP_path2_passage4_410.tif","Vero cells EXP P4 path 2 day 4\EXP_path2_passage4_410.tif","path2","4","standard_exp_frame"
"CultureB_day5_01.tif","CultureB","5","01","EXP_path2_passage4_501.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_501.tif","path2","4","standard_exp_frame"
"CultureB_day5_02.tif","CultureB","5","02","EXP_path2_passage4_502.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_502.tif","path2","4","standard_exp_frame"
"CultureB_day5_03.tif","CultureB","5","03","EXP_path2_passage4_503.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_503.tif","path2","4","standard_exp_frame"
"CultureB_day5_04.tif","CultureB","5","04","EXP_path2_passage4_504.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_504.tif","path2","4","standard_exp_frame"
"CultureB_day5_05.tif","CultureB","5","05","EXP_path2_passage4_505.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_505.tif","path2","4","standard_exp_frame"
"CultureB_day5_06.tif","CultureB","5","06","EXP_path2_passage4_506.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_506.tif","path2","4","standard_exp_frame"
"CultureB_day5_07.tif","CultureB","5","07","EXP_path2_passage4_507.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_507.tif","path2","4","standard_exp_frame"
"CultureB_day5_08.tif","CultureB","5","08","EXP_path2_passage4_508.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_508.tif","path2","4","standard_exp_frame"
"CultureB_day5_09.tif","CultureB","5","09","EXP_path2_passage4_509.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_509.tif","path2","4","standard_exp_frame"
"CultureB_day5_10.tif","CultureB","5","10","EXP_path2_passage4_510.tif","Vero cells EXP P4 path 2 day 5\EXP_path2_passage4_510.tif","path2","4","standard_exp_frame"
